WorkshopCode,WorkshopNameVariations,CurrentlyUsedName
AVSIGEO,A Very Short Introduction to Geospatial R,TRUE
AVSIGIT,A Very Short Introduction to Git/GitHub,TRUE
AVSILATEX,Intro to LaTeX,TRUE
AVSIR,A Very Short Introduction to R,TRUE
BACKUPS101,Survival Skills: Backups,TRUE
BACKUPS101,Survival skills: Backups,FALSE
BACKUPS101,Backups,FALSE
BACKUPS101,Keeping Your Research Safe with Backups,FALSE
BACKUPS101,Love Data Week - Survival Skills: Keep Your Research Safe with Backups,FALSE
BACKUPS101,Survival Skills 101: Back-ups,FALSE
BACKUPS101,Survival Skills: Backups 101,FALSE
BACKUPS101,Survival Skills: Keep Your Research Safe with Backups,FALSE
BBASH,Intro to Unix Shell (Software Carpentries Lesson),TRUE
BBASH,Introduction to the Unix/Linux Shell,FALSE
BBASH,Bash for Beginners,FALSE
BBASH,Intro to Unix Shell (Software Carpentries On-line),FALSE
BBASH,Introduction to the Unix/Linux Shell On-line,FALSE
BBASH,Standalone Bash,FALSE
BBASH,Unix Shell (Bash) for Beginners,FALSE
BBASH,Software Carpentry: Intro to Unix Shell,FALSE
BBASH,Unix/Bash Shell,FALSE
BLATEX,Beginner LaTeX,TRUE
BLATEX,Beginner LaTeX Workshop,FALSE
BLATEX,LaTeX,FALSE
COMP101,Survival Skills: Using Computers for Scholarly Research,TRUE
COMP101,Survival Skills: Using Computers for Research,FALSE
COMP101,Survival skills: Using Computers for Research,FALSE
COMP101,Using comptuers,FALSE
COMP101,Using computers,FALSE
COMP101,Using Computers for Scholarly Research,FALSE
CUSTOM,Custom Workshop,TRUE
DCGEO,Data Carpentry for Geospatial with R,TRUE
DCGEO,Data Carpentry for Geospatial with R,TRUE
DCGEOPY,Data Carpentry for Geospatial with Python,TRUE
DCOPENRTIDY,Data Carpentry: Spreadsheets and OpenRefine (Combined),TRUE
DCOPENRTIDY,Data Carpentry: Spreadsheets and OpenRefine,FALSE
DCR,"Data Carpentry with R, Spreadsheets, and OpenRefine (Two Day Workshop)",TRUE
DCR,Data Carpentry with R (two day workshop),FALSE
DCR,"Data Carpentry for Social Scientists with R, Spreadsheets, and OpenRefine (Two Day Workshop)",FALSE
DCR,Data Carpentry for the Social Sciences 2-Day Workshop,FALSE
DCR,Data Carpentry for the Social Sciences Workshop,FALSE
DCR,Two-day Carpentries with R,FALSE
DCSQL,Data Management with SQL (Data Carpentry Lesson),TRUE
DCSQL,Data Management with SQL,FALSE
DCSQL,Standalone SQL,FALSE
